Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 13, 2025"
Statement,Data,WhenGenerated,"2025-01-14, 01:53:19 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,HKD,6181,"2025-01-12, 20:44:06","1,000",300.2,296.4,-300200,-484.4202,300684.4202,0,-3800,O;P
Trades,SubTotal,,Stocks,HKD,6181,,1000,,,-300200,-484.4202,300684.4202,0,-3800,
Trades,Total,,Stocks,HKD,,,,,,-300200,-484.4202,300684.4202,0,-3800, 
Trades,Total,,Stocks,USD,,,,,,-38554.686,-62.214086286,38616.900086286,0,-488.034, 
Trades,Data,Order,Stocks,USD,ANF,"2025-01-10, 16:20:00",-500,157.5,135.72,78750,-2.27225,-73199.89124,7099.23022,10890,A;C
Trades,SubTotal,,Stocks,USD,ANF,,-500,,,78750,-2.27225,-73199.89124,7099.23022,10890,
Trades,Data,Order,Stocks,USD,BX,"2025-01-10, 16:20:00",500,175,165.77,-87500,0,87500,0,-4615,A;O
Trades,SubTotal,,Stocks,USD,BX,,500,,,-87500,0,87500,0,-4615,
Trades,Data,Order,Stocks,USD,EPI,"2025-01-13, 11:54:44","-10,000",43.1915922,43.28,431915.922,-62.463186631,-488453.987599,-56538.065599,-884.078,C;P
Trades,Data,Order,Stocks,USD,EPI,"2025-01-13, 11:55:29","-10,000",43.1796365,43.28,431796.365,-76.458833948,-492372.060338,-60575.695338,-1003.635,C;P
Trades,SubTotal,,Stocks,USD,EPI,,-20000,,,863712.287,-138.922020579,-980826.047937,-117113.760937,-1887.713,
Trades,Data,Order,Stocks,USD,FPE,"2025-01-13, 11:44:03","-50,000",17.522596144,17.53,876129.8072,-220.66452564,-884925.201988,-9016.059308,-370.1928,C;P
Trades,SubTotal,,Stocks,USD,FPE,,-50000,,,876129.8072,-220.66452564,-884925.201988,-9016.059308,-370.1928,
Trades,Data,Order,Stocks,USD,JPM,"2025-01-10, 16:20:00","1,000",242.5,244.21,-242500,0,242500,0,1710,A;O
Trades,SubTotal,,Stocks,USD,JPM,,1000,,,-242500,0,242500,0,1710,
Trades,Data,Order,Stocks,USD,MCD,"2025-01-13, 12:09:53","-5,500",282.206294545,283.63,1552134.62,-57.81299119,-1542997.038050001,9079.768963,-7830.38,C;P
Trades,SubTotal,,Stocks,USD,MCD,,-5500,,,1552134.62,-57.81299119,-1542997.038050001,9079.768963,-7830.38,
