Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"June 26, 2025"
Statement,Data,WhenGenerated,"2025-08-06, 02:11:09 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,U18135473,IAUM,"2025-06-26, 11:31:15",500,33.126,33.21,-16563,-0.008235,16563.008235,0,42,O;P
Trades,Data,Order,Stocks,USD,U18135473,IAUM,"2025-06-26, 12:05:11",200,33.145,33.21,-6629,-0.532294,6629.532294,0,13,O;P
Trades,Data,Order,Stocks,USD,U18135473,IAUM,"2025-06-26, 12:33:19",100,33.2,33.21,-3320,-0.66875725,3320.66875725,0,1,O
Trades,Data,Order,Stocks,USD,U18135473,IAUM,"2025-06-26, 13:41:22","6,800",33.223598529,33.21,-225920.47,-10.157696,225930.627696,0,-92.47,O;P
Trades,SubTotal,,Stocks,USD,IAUM,,,8000,,,-265651.47,-11.47157025,265662.94157025,0,28.53,
Trades,Data,Order,Stocks,USD,U18135473,MELI,"2025-06-26, 11:08:12",20,2553.59,2560.2,-51071.8,-0.32895725,51072.12895725,0,132.2,O;P
Trades,SubTotal,,Stocks,USD,MELI,,,20,,,-51071.8,-0.32895725,51072.12895725,0,132.2,
Trades,Data,Order,Stocks,USD,U18135473,MSTR,"2025-06-26, 12:41:02",950,386.405263158,386.44,-367085,-0.8896465,367085.8896465,0,33,O;P
Trades,SubTotal,,Stocks,USD,MSTR,,,950,,,-367085,-0.8896465,367085.8896465,0,33,
Trades,Data,Order,Stocks,USD,U18135473,NVO,"2025-06-26, 12:31:30","2,525",67.393168317,67.7,-170167.75,-2.98038675,170170.73038675,0,774.75,O;P
Trades,SubTotal,,Stocks,USD,NVO,,,2525,,,-170167.75,-2.98038675,170170.73038675,0,774.75,
Trades,Data,Order,Stocks,USD,U18135473,PANW,"2025-06-26, 11:26:13","1,300",202.597469231,202.34,-263376.71,-1.068511,263377.778511,0,-334.71,IM;O;P
Trades,SubTotal,,Stocks,USD,PANW,,,1300,,,-263376.71,-1.068511,263377.778511,0,-334.71,
Trades,Data,Order,Stocks,USD,U18135473,PONY,"2025-06-26, 12:58:46","11,425",12.781879212,14.58,-146032.97,-14.09140975,146047.06140975,0,20543.53,O;P
Trades,SubTotal,,Stocks,USD,PONY,,,11425,,,-146032.97,-14.09140975,146047.06140975,0,20543.53,
Trades,Data,Order,Stocks,USD,U18135473,TLT,"2025-06-26, 10:26:48","1,500",87.35924,87.95,-131038.86,-0.736905,131039.596905,0,886.14,IM;O;P
Trades,SubTotal,,Stocks,USD,TLT,,,1500,,,-131038.86,-0.736905,131039.596905,0,886.14,
Trades,Data,Order,Stocks,USD,U18135473,VST,"2025-06-26, 12:26:27",700,189.488571429,190.4,-132642,-0.725529,132642.725529,0,638,O;P
Trades,SubTotal,,Stocks,USD,VST,,,700,,,-132642,-0.725529,132642.725529,0,638,
Trades,Total,,Stocks,USD,,,,,,,-475223.49,-82.22962355,440830.129133999,-34475.590488,29068.36, 
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"Assets held at Interactive Brokers (U.K.) Limited are subject to the UK Financial Services Compensation Scheme but are not protected by the U.S. Securities Investor Protection Corporation ("SIPC"). Assets held at Interactive Brokers LLC are subject to SIPC but are not protected under the UK Financial Services Compensation Scheme. As with all securities firms, SIPC coverage provides protection against failure of a broker-dealer, not against loss of market value of securities.  Futures and options on futures are not covered by SIPC."
